DSP_HOSTFLAGS armed
DSP_HOSTFLAGS case=1 PASS
DSP_HOSTFLAGS case=2 PASS
DSP_HOSTFLAGS case=3 PASS
DSP_HOSTFLAGS case=4 PASS
DSP_HOSTFLAGS case=5 PASS
DSP_HOSTFLAGS case=6 PASS
DSP_HOSTFLAGS case=7 PASS
DSP_HOSTFLAGS case=8 PASS
DSP_HOSTFLAGS case=9 PASS
DSP_HOSTFLAGS case=10 PASS
DSP_HOSTFLAGS case=11 PASS
DSP_HOSTFLAGS case=12 PASS
DSP_HOSTFLAGS case=13 PASS
DSP_HOSTFLAGS case=14 PASS
DSP_HOSTFLAGS case=15 PASS
DSP_HOSTFLAGS case=16 PASS
DSP_HOSTFLAGS case=17 PASS
DSP_HOSTFLAGS case=18 PASS
DSP_HOSTFLAGS case=19 PASS
DSP_HOSTFLAGS case=20 PASS
DSP_HOSTFLAGS case=21 PASS
DSP_HOSTFLAGS case=22 PASS
DSP_HOSTFLAGS case=23 PASS
DSP_HOSTFLAGS case=24 PASS
DSP_HOSTFLAGS case=25 PASS
DSP_HOSTFLAGS case=26 PASS
DSP_HOSTFLAGS case=27 PASS
DSP_HOSTFLAGS case=28 PASS
DSP_HOSTFLAGS case=29 PASS
DSP_HOSTFLAGS case=30 PASS
DSP_HOSTFLAGS case=31 PASS
DSP_HOSTFLAGS case=32 PASS
DSP_HOSTFLAGS case=33 PASS
DSP_HOSTFLAGS case=34 PASS
DSP_HOSTFLAGS case=35 PASS
DSP_HOSTFLAGS case=36 PASS
DSP_HOSTFLAGS case=37 PASS
DSP_HOSTFLAGS case=38 PASS
DSP_HOSTFLAGS case=39 PASS
DSP_HOSTFLAGS case=40 PASS
DSP_HOSTFLAGS case=41 PASS
DSP_HOSTFLAGS case=42 PASS
DSP_HOSTFLAGS case=43 PASS
DSP_HOSTFLAGS case=44 PASS
DSP_HOSTFLAGS case=45 PASS
DSP_HOSTFLAGS case=46 PASS
DSP_HOSTFLAGS case=47 PASS
DSP_HOSTFLAGS case=48 PASS
DSP_HOSTFLAGS case=49 PASS
DSP_HOSTFLAGS case=50 PASS
DSP_HOSTFLAGS case=51 PASS
DSP_HOSTFLAGS case=52 PASS
DSP_HOSTFLAGS case=53 PASS
DSP_HOSTFLAGS case=54 PASS
DSP_HOSTFLAGS case=55 PASS
DSP_HOSTFLAGS case=56 PASS
DSP_HOSTFLAGS case=57 PASS
DSP_HOSTFLAGS case=58 PASS
DSP_HOSTFLAGS case=59 PASS
DSP_HOSTFLAGS case=60 PASS
DSP_HOSTFLAGS case=61 PASS
DSP_HOSTFLAGS case=62 PASS
DSP_HOSTFLAGS case=63 PASS
DSP_HOSTFLAGS case=64 PASS
DSP_HOSTFLAGS case=65 PASS
DSP_HOSTFLAGS case=66 PASS
DSP_HOSTFLAGS case=67 PASS
DSP_HOSTFLAGS case=68 PASS
DSP_HOSTFLAGS case=69 PASS
DSP_HOSTFLAGS case=70 PASS
DSP_HOSTFLAGS case=71 PASS
DSP_HOSTFLAGS case=72 PASS
DSP_HOSTFLAGS case=73 PASS
DSP_HOSTFLAGS case=74 PASS
DSP_HOSTFLAGS case=75 PASS
DSP_HOSTFLAGS case=76 PASS
DSP_HOSTFLAGS case=77 PASS
DSP_HOSTFLAGS case=78 PASS
DSP_HOSTFLAGS case=79 PASS
DSP_HOSTFLAGS case=80 PASS
DSP_HOSTFLAGS case=81 PASS
DSP_HOSTFLAGS case=82 PASS
DSP_HOSTFLAGS case=83 PASS
DSP_HOSTFLAGS case=84 PASS
DSP_HOSTFLAGS case=85 PASS
DSP_HOSTFLAGS case=86 PASS
DSP_HOSTFLAGS case=87 PASS
DSP_HOSTFLAGS case=88 PASS
DSP_HOSTFLAGS case=89 PASS
DSP_HOSTFLAGS case=90 PASS
DSP_HOSTFLAGS case=91 PASS
DSP_HOSTFLAGS case=92 PASS
DSP_HOSTFLAGS case=93 PASS
DSP_HOSTFLAGS case=94 PASS
DSP_HOSTFLAGS case=95 PASS
DSP_HOSTFLAGS case=96 PASS
DSP_HOSTFLAGS case=97 PASS
DSP_HOSTFLAGS case=98 PASS
DSP_HOSTFLAGS case=99 PASS
DSP_HOSTFLAGS case=100 PASS
DSP_HOSTFLAGS case=101 PASS
DSP_HOSTFLAGS case=102 PASS
DSP_HOSTFLAGS case=103 PASS
DSP_HOSTFLAGS case=104 PASS
DSP_HOSTFLAGS case=105 PASS
DSP_HOSTFLAGS case=106 PASS
DSP_HOSTFLAGS case=107 PASS
DSP_HOSTFLAGS case=108 PASS
DSP_HOSTFLAGS case=109 PASS
DSP_HOSTFLAGS case=110 PASS
DSP_HOSTFLAGS case=111 PASS
DSP_HOSTFLAGS case=112 PASS
DSP_HOSTFLAGS PASS cases=112
Average speed: 300.29% (2 seconds)
