DSP_LOP armed
DSP_LOP case=1 PASS
DSP_LOP case=2 PASS
DSP_LOP case=3 PASS
DSP_LOP case=4 PASS
DSP_LOP case=5 PASS
DSP_LOP case=6 PASS
DSP_LOP case=7 PASS
DSP_LOP case=8 PASS
DSP_LOP case=9 PASS
DSP_LOP case=10 PASS
DSP_LOP case=11 PASS
DSP_LOP case=12 PASS
DSP_LOP case=13 PASS
DSP_LOP case=14 PASS
DSP_LOP case=15 PASS
DSP_LOP case=16 PASS
DSP_LOP case=17 PASS
DSP_LOP case=18 PASS
DSP_LOP case=19 PASS
DSP_LOP case=20 PASS
DSP_LOP case=21 PASS
DSP_LOP case=22 PASS
DSP_LOP case=23 PASS
DSP_LOP case=24 PASS
DSP_LOP case=25 PASS
DSP_LOP case=26 PASS
DSP_LOP case=27 PASS
DSP_LOP case=28 PASS
DSP_LOP case=29 PASS
DSP_LOP case=30 PASS
DSP_LOP case=31 PASS
DSP_LOP case=32 PASS
DSP_LOP case=33 PASS
DSP_LOP case=34 PASS
DSP_LOP case=35 PASS
DSP_LOP case=36 PASS
DSP_LOP case=37 PASS
DSP_LOP case=38 PASS
DSP_LOP case=39 PASS
DSP_LOP case=40 PASS
DSP_LOP case=41 PASS
DSP_LOP case=42 PASS
DSP_LOP case=43 PASS
DSP_LOP case=44 PASS
DSP_LOP case=45 PASS
DSP_LOP case=46 PASS
DSP_LOP case=47 PASS
DSP_LOP case=48 PASS
DSP_LOP case=49 PASS
DSP_LOP case=50 PASS
DSP_LOP case=51 PASS
DSP_LOP case=52 PASS
DSP_LOP case=53 PASS
DSP_LOP case=54 PASS
DSP_LOP case=55 PASS
DSP_LOP case=56 PASS
DSP_LOP case=57 PASS
DSP_LOP case=58 PASS
DSP_LOP case=59 PASS
DSP_LOP case=60 PASS
DSP_LOP case=61 PASS
DSP_LOP case=62 PASS
DSP_LOP case=63 PASS
DSP_LOP case=64 PASS
DSP_LOP case=65 PASS
DSP_LOP case=66 PASS
DSP_LOP case=67 PASS
DSP_LOP case=68 PASS
DSP_LOP case=69 PASS
DSP_LOP case=70 PASS
DSP_LOP case=71 PASS
DSP_LOP case=72 PASS
DSP_LOP case=73 PASS
DSP_LOP case=74 PASS
DSP_LOP case=75 PASS
DSP_LOP case=76 PASS
DSP_LOP case=77 PASS
DSP_LOP case=78 PASS
DSP_LOP case=79 PASS
DSP_LOP case=80 PASS
DSP_LOP PASS cases=80
Average speed: 218.90% (5 seconds)
