DSP_MUL armed
DSP_MUL case=1 PASS
DSP_MUL case=2 PASS
DSP_MUL case=3 PASS
DSP_MUL case=4 PASS
DSP_MUL case=5 PASS
DSP_MUL case=6 PASS
DSP_MUL case=7 PASS
DSP_MUL case=8 PASS
DSP_MUL case=9 PASS
DSP_MUL case=10 PASS
DSP_MUL case=11 PASS
DSP_MUL case=12 PASS
DSP_MUL case=13 PASS
DSP_MUL case=14 PASS
DSP_MUL case=15 PASS
DSP_MUL case=16 PASS
DSP_MUL case=17 PASS
DSP_MUL case=18 PASS
DSP_MUL case=19 PASS
DSP_MUL case=20 PASS
DSP_MUL case=21 PASS
DSP_MUL case=22 PASS
DSP_MUL case=23 PASS
DSP_MUL case=24 PASS
DSP_MUL case=25 PASS
DSP_MUL case=26 PASS
DSP_MUL case=27 PASS
DSP_MUL case=28 PASS
DSP_MUL case=29 PASS
DSP_MUL case=30 PASS
DSP_MUL case=31 PASS
DSP_MUL case=32 PASS
DSP_MUL case=33 PASS
DSP_MUL case=34 PASS
DSP_MUL case=35 PASS
DSP_MUL case=36 PASS
DSP_MUL case=37 PASS
DSP_MUL case=38 PASS
DSP_MUL case=39 PASS
DSP_MUL case=40 PASS
DSP_MUL case=41 PASS
DSP_MUL case=42 PASS
DSP_MUL case=43 PASS
DSP_MUL case=44 PASS
DSP_MUL case=45 PASS
DSP_MUL case=46 PASS
DSP_MUL case=47 PASS
DSP_MUL case=48 PASS
DSP_MUL case=49 PASS
DSP_MUL case=50 PASS
DSP_MUL case=51 PASS
DSP_MUL case=52 PASS
DSP_MUL case=53 PASS
DSP_MUL case=54 PASS
DSP_MUL case=55 PASS
DSP_MUL case=56 PASS
DSP_MUL case=57 PASS
DSP_MUL case=58 PASS
DSP_MUL case=59 PASS
DSP_MUL case=60 PASS
DSP_MUL case=61 PASS
DSP_MUL case=62 PASS
DSP_MUL case=63 PASS
DSP_MUL case=64 PASS
DSP_MUL PASS cases=64
Average speed: 334.56% (2 seconds)
