DSP_PAUSE armed
DSP_PAUSE case=1 PASS
DSP_PAUSE case=2 PASS
DSP_PAUSE case=3 PASS
DSP_PAUSE case=4 PASS
DSP_PAUSE case=5 PASS
DSP_PAUSE case=6 PASS
DSP_PAUSE case=7 PASS
DSP_PAUSE case=8 PASS
DSP_PAUSE case=9 PASS
DSP_PAUSE case=10 PASS
DSP_PAUSE case=11 PASS
DSP_PAUSE case=12 PASS
DSP_PAUSE case=13 PASS
DSP_PAUSE case=14 PASS
DSP_PAUSE case=15 PASS
DSP_PAUSE case=16 PASS
DSP_PAUSE case=17 PASS
DSP_PAUSE case=18 PASS
DSP_PAUSE case=19 PASS
DSP_PAUSE case=20 PASS
DSP_PAUSE PASS cases=20
Average speed: 330.81% (2 seconds)
