SCSP_DMA armed
SCSP_DMA case=1 PASS
SCSP_DMA case=2 PASS
SCSP_DMA case=3 PASS
SCSP_DMA case=4 PASS
SCSP_DMA case=5 PASS
SCSP_DMA case=6 PASS
SCSP_DMA case=7 PASS
SCSP_DMA case=8 PASS
SCSP_DMA case=9 PASS
SCSP_DMA case=10 PASS
SCSP_DMA case=11 PASS
SCSP_DMA case=12 PASS
SCSP_DMA case=13 PASS
SCSP_DMA case=14 PASS
SCSP_DMA case=15 PASS
SCSP_DMA case=16 PASS
SCSP_DMA case=17 PASS
SCSP_DMA case=18 PASS
SCSP_DMA case=19 PASS
SCSP_DMA case=20 PASS
SCSP_DMA case=21 PASS
SCSP_DMA case=22 PASS
SCSP_DMA case=23 PASS
SCSP_DMA case=24 PASS
SCSP_DMA case=25 PASS
SCSP_DMA case=26 PASS
SCSP_DMA case=27 PASS
SCSP_DMA case=28 PASS
SCSP_DMA case=29 PASS
SCSP_DMA case=30 PASS
SCSP_DMA case=31 PASS
SCSP_DMA case=32 PASS
SCSP_DMA case=33 PASS
SCSP_DMA case=34 PASS
SCSP_DMA case=35 PASS
SCSP_DMA case=36 PASS
SCSP_DMA case=37 PASS
SCSP_DMA case=38 PASS
SCSP_DMA case=39 PASS
SCSP_DMA case=40 PASS
SCSP_DMA case=41 PASS
SCSP_DMA case=42 PASS
SCSP_DMA case=43 PASS
SCSP_DMA case=44 PASS
SCSP_DMA case=45 PASS
SCSP_DMA case=46 PASS
SCSP_DMA case=47 PASS
SCSP_DMA case=48 PASS
SCSP_DMA PASS cases=48
Average speed: 320.01% (3 seconds)
