DSP_DMA armed
DSP_DMA case=1 PASS
DSP_DMA case=2 PASS
DSP_DMA case=3 PASS
DSP_DMA case=4 PASS
DSP_DMA case=5 PASS
DSP_DMA case=6 PASS
DSP_DMA case=7 PASS
DSP_DMA case=8 PASS
DSP_DMA case=9 PASS
DSP_DMA case=10 PASS
DSP_DMA case=11 PASS
DSP_DMA case=12 PASS
DSP_DMA case=13 PASS
DSP_DMA case=14 PASS
DSP_DMA case=15 PASS
DSP_DMA case=16 PASS
DSP_DMA case=17 PASS
DSP_DMA case=18 PASS
DSP_DMA case=19 PASS
DSP_DMA case=20 PASS
DSP_DMA case=21 PASS
DSP_DMA case=22 PASS
DSP_DMA case=23 PASS
DSP_DMA case=24 PASS
DSP_DMA case=25 PASS
DSP_DMA case=26 PASS
DSP_DMA case=27 PASS
DSP_DMA case=28 PASS
DSP_DMA case=29 PASS
DSP_DMA case=30 PASS
DSP_DMA case=31 PASS
DSP_DMA case=32 PASS
DSP_DMA PASS cases=32
Average speed: 337.04% (2 seconds)
