DSP_PIPELINE armed
DSP_PIPELINE case=1 PASS
DSP_PIPELINE case=2 PASS
DSP_PIPELINE case=3 PASS
DSP_PIPELINE case=4 PASS
DSP_PIPELINE case=5 PASS
DSP_PIPELINE case=6 PASS
DSP_PIPELINE case=7 PASS
DSP_PIPELINE case=8 PASS
DSP_PIPELINE case=9 PASS
DSP_PIPELINE case=10 PASS
DSP_PIPELINE case=11 PASS
DSP_PIPELINE case=12 PASS
DSP_PIPELINE case=13 PASS
DSP_PIPELINE case=14 PASS
DSP_PIPELINE case=15 PASS
DSP_PIPELINE case=16 PASS
DSP_PIPELINE case=17 PASS
DSP_PIPELINE case=18 PASS
DSP_PIPELINE case=19 PASS
DSP_PIPELINE case=20 PASS
DSP_PIPELINE case=21 PASS
DSP_PIPELINE case=22 PASS
DSP_PIPELINE case=23 PASS
DSP_PIPELINE case=24 PASS
DSP_PIPELINE case=25 PASS
DSP_PIPELINE case=26 PASS
DSP_PIPELINE case=27 PASS
DSP_PIPELINE PASS cases=27
Average speed: 331.65% (3 seconds)
