SCSP_DSP armed
SCSP_DSP case=1 PASS
SCSP_DSP case=2 PASS
SCSP_DSP case=3 PASS
SCSP_DSP case=4 PASS
SCSP_DSP case=5 PASS
SCSP_DSP case=6 PASS
SCSP_DSP case=7 PASS
SCSP_DSP case=8 PASS
SCSP_DSP case=9 PASS
SCSP_DSP case=10 PASS
SCSP_DSP case=11 PASS
SCSP_DSP case=12 PASS
SCSP_DSP case=13 PASS
SCSP_DSP case=14 PASS
SCSP_DSP case=15 PASS
SCSP_DSP case=16 PASS
SCSP_DSP case=17 PASS
SCSP_DSP case=18 PASS
SCSP_DSP case=19 PASS
SCSP_DSP case=20 PASS
SCSP_DSP case=21 PASS
SCSP_DSP case=22 PASS
SCSP_DSP case=23 PASS
SCSP_DSP case=24 PASS
SCSP_DSP case=25 PASS
SCSP_DSP case=26 PASS
SCSP_DSP case=27 PASS
SCSP_DSP case=28 PASS
SCSP_DSP case=29 PASS
SCSP_DSP case=30 PASS
SCSP_DSP case=31 PASS
SCSP_DSP PASS cases=31
Average speed: 203.53% (2 seconds)
