DSP_PRAM armed
DSP_PRAM case=1 PASS
DSP_PRAM case=2 PASS
DSP_PRAM case=3 PASS
DSP_PRAM case=4 PASS
DSP_PRAM case=5 PASS
DSP_PRAM case=6 PASS
DSP_PRAM case=7 PASS
DSP_PRAM case=8 PASS
DSP_PRAM case=9 PASS
DSP_PRAM case=10 PASS
DSP_PRAM case=11 PASS
DSP_PRAM case=12 PASS
DSP_PRAM case=13 PASS
DSP_PRAM case=14 PASS
DSP_PRAM case=15 PASS
DSP_PRAM case=16 PASS
DSP_PRAM case=17 PASS
DSP_PRAM case=18 PASS
DSP_PRAM case=19 PASS
DSP_PRAM case=20 PASS
DSP_PRAM case=21 PASS
DSP_PRAM case=22 PASS
DSP_PRAM case=23 PASS
DSP_PRAM case=24 PASS
DSP_PRAM case=25 PASS
DSP_PRAM case=26 PASS
DSP_PRAM case=27 PASS
DSP_PRAM case=28 PASS
DSP_PRAM case=29 PASS
DSP_PRAM case=30 PASS
DSP_PRAM case=31 PASS
DSP_PRAM case=32 PASS
DSP_PRAM PASS cases=32
Average speed: 318.57% (2 seconds)
