SCSP_MIDI_FIFO armed
SCSP_MIDI_FIFO case=1 PASS
SCSP_MIDI_FIFO case=2 PASS
SCSP_MIDI_FIFO case=3 PASS
SCSP_MIDI_FIFO case=4 PASS
SCSP_MIDI_FIFO case=5 PASS
SCSP_MIDI_FIFO case=6 PASS
SCSP_MIDI_FIFO case=7 PASS
SCSP_MIDI_FIFO case=8 PASS
SCSP_MIDI_FIFO case=9 PASS
SCSP_MIDI_FIFO case=10 PASS
SCSP_MIDI_FIFO case=11 PASS
SCSP_MIDI_FIFO case=12 PASS
SCSP_MIDI_FIFO case=13 PASS
SCSP_MIDI_FIFO case=14 PASS
SCSP_MIDI_FIFO case=15 PASS
SCSP_MIDI_FIFO case=16 PASS
SCSP_MIDI_FIFO case=17 PASS
SCSP_MIDI_FIFO case=18 PASS
SCSP_MIDI_FIFO case=19 PASS
SCSP_MIDI_FIFO case=20 PASS
SCSP_MIDI_FIFO case=21 PASS
SCSP_MIDI_FIFO case=22 PASS
SCSP_MIDI_FIFO case=23 PASS
SCSP_MIDI_FIFO case=24 PASS
SCSP_MIDI_FIFO PASS cases=24
Average speed: 334.29% (2 seconds)
