SCSP_MIDI armed
SCSP_MIDI case=1 PASS
SCSP_MIDI case=2 PASS
SCSP_MIDI case=3 PASS
SCSP_MIDI case=4 PASS
SCSP_MIDI case=5 PASS
SCSP_MIDI case=6 PASS
SCSP_MIDI case=7 PASS
SCSP_MIDI case=8 PASS
SCSP_MIDI case=9 PASS
SCSP_MIDI case=10 PASS
SCSP_MIDI case=11 PASS
SCSP_MIDI case=12 PASS
SCSP_MIDI case=13 PASS
SCSP_MIDI case=14 PASS
SCSP_MIDI case=15 PASS
SCSP_MIDI case=16 PASS
SCSP_MIDI case=17 PASS
SCSP_MIDI case=18 PASS
SCSP_MIDI case=19 PASS
SCSP_MIDI case=20 PASS
SCSP_MIDI case=21 PASS
SCSP_MIDI case=22 PASS
SCSP_MIDI case=23 PASS
SCSP_MIDI case=24 PASS
SCSP_MIDI case=25 PASS
SCSP_MIDI case=26 PASS
SCSP_MIDI case=27 PASS
SCSP_MIDI case=28 PASS
SCSP_MIDI case=29 PASS
SCSP_MIDI case=30 PASS
SCSP_MIDI case=31 PASS
SCSP_MIDI case=32 PASS
SCSP_MIDI case=33 PASS
SCSP_MIDI case=34 PASS
SCSP_MIDI case=35 PASS
SCSP_MIDI case=36 PASS
SCSP_MIDI case=37 PASS
SCSP_MIDI case=38 PASS
SCSP_MIDI case=39 PASS
SCSP_MIDI case=40 PASS
SCSP_MIDI case=41 PASS
SCSP_MIDI case=42 PASS
SCSP_MIDI case=43 PASS
SCSP_MIDI case=44 PASS
SCSP_MIDI case=45 PASS
SCSP_MIDI case=46 PASS
SCSP_MIDI case=47 PASS
SCSP_MIDI case=48 PASS
SCSP_MIDI case=49 PASS
SCSP_MIDI case=50 PASS
SCSP_MIDI case=51 PASS
SCSP_MIDI case=52 PASS
SCSP_MIDI case=53 PASS
SCSP_MIDI case=54 PASS
SCSP_MIDI case=55 PASS
SCSP_MIDI case=56 PASS
SCSP_MIDI case=57 PASS
SCSP_MIDI case=58 PASS
SCSP_MIDI case=59 PASS
SCSP_MIDI case=60 PASS
SCSP_MIDI case=61 PASS
SCSP_MIDI case=62 PASS
SCSP_MIDI case=63 PASS
SCSP_MIDI case=64 PASS
SCSP_MIDI case=65 PASS
SCSP_MIDI case=66 PASS
SCSP_MIDI case=67 PASS
SCSP_MIDI case=68 PASS
SCSP_MIDI case=69 PASS
SCSP_MIDI case=70 PASS
SCSP_MIDI case=71 PASS
SCSP_MIDI case=72 PASS
SCSP_MIDI case=73 PASS
SCSP_MIDI case=74 PASS
SCSP_MIDI case=75 PASS
SCSP_MIDI case=76 PASS
SCSP_MIDI case=77 PASS
SCSP_MIDI case=78 PASS
SCSP_MIDI case=79 PASS
SCSP_MIDI case=80 PASS
SCSP_MIDI case=81 PASS
SCSP_MIDI case=82 PASS
SCSP_MIDI case=83 PASS
SCSP_MIDI case=84 PASS
SCSP_MIDI case=85 PASS
SCSP_MIDI case=86 PASS
SCSP_MIDI case=87 PASS
SCSP_MIDI case=88 PASS
